name,type,group
"Rural Bank of Hinundayan (Southern Leyte), Inc.",Rural Banks (RBs),3
"Rural Bank of Ibajay, Inc.",Rural Banks (RBs),3
"Rural Bank of Ilog (Negros Occidental), Inc.",Rural Banks (RBs),3
"Rural Bank of Iloilo City, Inc.",Rural Banks (RBs),3
"Rural Bank of Infanta, Inc.",Rural Banks (RBs),3
"Rural Bank of Irosin, Inc.",Rural Banks (RBs),3
"Rural Bank of Itogon (Benguet), Inc.",Rural Banks (RBs),3
"Rural Bank of Jaen, Inc.",Rural Banks (RBs),3
"Rural Bank of Jamindan (Capiz), Inc.",Rural Banks (RBs),3
"Rural Bank of Jimenez (Misamis Occidental), Inc.",Rural Banks (RBs),3
"Rural Bank of Jose Panganiban (Camarines Norte), Inc.",Rural Banks (RBs),3
"Rural Bank of Kapalong (Davao), Inc.",Rural Banks (RBs),3
"Rural Bank of Karomatan (Lanao Del Norte), Inc.",Rural Banks (RBs),3
"Rural Bank of Kiamba (Sarangani), Inc.",Rural Banks (RBs),3
"Rural Bank of Kibawe (Bukidnon), Inc.",Rural Banks (RBs),3
"Rural Bank of La Paz, Inc.",Rural Banks (RBs),3
"Rural Bank of Labason (Zamboanga Del Norte), Incorporated",Rural Banks (RBs),3
"Rural Bank of Lanuza (Surigao Del Sur), Incorporated",Rural Banks (RBs),3
"Rural Bank of Lebak (Sultan Kudarat), Incorporated",Rural Banks (RBs),3
"Rural Bank of Leganes (Iloilo), Inc.",Rural Banks (RBs),3
"Rural Bank of Liloy (Zamboanga Del Norte), Inc.",Rural Banks (RBs),3
"Rural Bank of Limay (Bataan), Inc.",Rural Banks (RBs),3
"Rural Bank of Lipa City (Batangas), Inc.",Rural Banks (RBs),3
"Rural Bank of Loon (Bohol), Inc.",Rural Banks (RBs),3
"Rural Bank of Lopez Jaena (Misamis Occidental), Inc.",Rural Banks (RBs),3
"Rural Bank of Lucban (Quezon), Inc.",Rural Banks (RBs),3
"Rural Bank of Luisiana (Laguna), Inc.",Rural Banks (RBs),3
"Rural Bank of Lumban (Laguna), Inc.",Rural Banks (RBs),3
"Rural Bank of Maasin (Southern Leyte), Inc.",Rural Banks (RBs),3
"Rural Bank of Mabalacat, Inc.",Rural Banks (RBs),3
